county,gdp_2015,gdp_2016,gdp_2017,gdp_2018,rank_2018,delta_2016,delta_2017,delta_2018,delta_rank
Anderson,"1,733,371","1,761,038","1,757,163","1,821,668",90,1.6,-0.2,3.7,103
Andrews,"4,618,403","4,588,979","5,030,447","5,355,273",46,-0.6,9.6,6.5,51
Angelina,"3,203,803","3,140,971","3,228,257","3,395,257",62,-2,2.8,5.2,71
Aransas,"662,999","634,775","606,525","607,950",172,-4.3,-4.5,0.2,183
Archer,"368,951","343,639","351,437","370,542",196,-6.9,2.3,5.4,65
Armstrong,"55,922","48,598","51,314","53,869",252,-13.1,5.6,5,73
Atascosa,"4,626,219","4,248,916","4,599,172","4,722,996",51,-8.2,8.2,2.7,136
Austin,"1,263,940","1,214,253","1,260,054","1,271,624",122,-3.9,3.8,0.9,170
Bailey,"474,359","458,610","516,860","475,400",182,-3.3,12.7,-8,236
Bandera,"316,070","301,003","307,421","317,383",204,-4.8,2.1,3.2,114
Bastrop,"1,742,307","1,741,072","1,782,172","1,881,339",85,-0.1,2.4,5.6,64
Baylor,"154,603","145,000","153,031","162,992",232,-6.2,5.5,6.5,48
Bee,"915,620","859,747","840,520","839,201",154,-6.1,-2.2,-0.2,193
Bell,"14,928,272","14,401,726","14,599,325","14,886,755",17,-3.5,1.4,2,152
Bexar,"90,563,914","92,804,535","93,472,254","97,527,759",5,2.5,0.7,4.3,90
Blanco,"287,492","288,614","296,607","299,571",209,0.4,2.8,1,166
Borden,"414,473","445,798","476,078","615,821",171,7.6,6.8,29.4,7
Bosque,"606,770","618,864","600,680","603,479",173,2,-2.9,0.5,178
Bowie,"3,595,173","3,639,773","3,663,972","3,701,177",59,1.2,0.7,1,165
Brazoria,"14,734,188","14,789,436","14,863,653","15,588,622",16,0.4,0.5,4.9,76
Brazos,"9,015,522","9,036,851","9,193,538","9,525,806",29,0.2,1.7,3.6,106
Brewster,"354,311","350,778","352,712","374,005",194,-1,0.6,6,54
Briscoe,"62,829","93,654","90,353","95,465",246,49.1,-3.5,5.7,62
Brooks,"421,454","356,810","373,637","360,775",198,-15.3,4.7,-3.4,218
Brown,"1,237,059","1,249,201","1,274,941","1,284,852",121,1,2.1,0.8,174
Burleson,"1,063,124","1,024,436","1,251,914","1,498,704",108,-3.6,22.2,19.7,12
Burnet,"1,267,335","1,275,662","1,301,004","1,334,951",119,0.7,2,2.6,138
Caldwell,"836,699","811,776","843,716","893,669",147,-3,3.9,5.9,60
Calhoun,"2,072,589","2,003,469","1,770,487","1,861,259",86,-3.3,-11.6,5.1,72
Callahan,"248,712","243,909","254,920","278,826",212,-1.9,4.5,9.4,27
Cameron,"9,544,503","9,659,865","9,737,643","10,011,608",26,1.2,0.8,2.8,129
Camp,"428,638","397,897","403,938","431,406",188,-7.2,1.5,6.8,43
Carson,"769,303","837,858","840,262","900,276",146,8.9,0.3,7.1,38
Cass,"752,698","740,258","739,240","766,769",160,-1.7,-0.1,3.7,101
Castro,"870,206","602,006","704,404","438,483",185,-30.8,17,-37.8,254
Chambers,"2,345,280","2,170,174","2,127,467","2,150,371",76,-7.5,-2,1.1,163
Cherokee,"1,466,988","1,567,759","1,514,989","1,529,074",104,6.9,-3.4,0.9,168
Childress,"190,187","203,141","199,541","207,648",225,6.8,-1.8,4.1,94
Clay,"240,534","237,128","243,792","251,437",216,-1.4,2.8,3.1,117
Cochran,"402,087","416,709","456,528","401,268",191,3.6,9.6,-12.1,242
Coke,"169,676","154,385","151,295","151,963",236,-9,-2,0.4,179
Coleman,"217,358","220,003","220,129","220,393",222,1.2,0.1,0.1,186
Collin,"50,887,993","53,840,440","56,082,965","59,917,532",6,5.8,4.2,6.8,42
Collingsworth,"89,321","96,979","92,629","101,880",244,8.6,-4.5,10,24
Colorado,"846,104","805,364","856,080","829,575",155,-4.8,6.3,-3.1,213
Comal,"4,902,123","5,078,067","5,216,179","5,455,611",43,3.6,2.7,4.6,83
Comanche,"382,919","401,811","436,484","445,661",184,4.9,8.6,2.1,148
Concho,"115,937","108,501","108,603","110,496",242,-6.4,0.1,1.7,156
Cooke,"2,535,323","2,428,601","2,494,264","2,603,999",70,-4.2,2.7,4.4,89
Coryell,"1,331,267","1,435,756","1,502,471","1,516,686",105,7.8,4.6,0.9,167
Cottle,"89,124","85,504","112,555","95,660",245,-4.1,31.6,-15,247
Crane,"1,421,391","1,268,805","1,194,628","1,136,787",126,-10.7,-5.8,-4.8,227
Crockett,"1,749,465","1,646,013","1,773,441","1,509,126",107,-5.9,7.7,-14.9,246
Crosby,"276,867","320,323","342,222","346,068",200,15.7,6.8,1.1,162
Culberson,"839,120","1,081,840","1,425,244","1,601,604",102,28.9,31.7,12.4,18
Dallam,"746,969","584,822","598,179","520,975",175,-21.7,2.3,-12.9,244
Dallas,"220,137,057","226,056,902","233,731,905","241,375,801",2,2.7,3.4,3.3,113
Dawson,"739,721","737,356","843,417","811,433",157,-0.3,14.4,-3.8,221
Deaf Smith,"1,698,155","1,514,699","1,442,311","1,365,597",116,-10.8,-4.8,-5.3,232
Delta,"98,120","90,641","93,044","94,996",247,-7.6,2.7,2.1,149
Denton,"24,950,914","25,964,632","27,383,654","28,354,188",8,4.1,5.5,3.5,108
DeWitt,"9,341,325","8,052,986","7,413,069","7,076,798",36,-13.8,-7.9,-4.5,223
Dickens,"128,837","138,739","140,761","141,052",238,7.7,1.5,0.2,185
Dimmit,"5,830,122","5,069,387","5,753,634","5,908,447",42,-13,13.5,2.7,137
Donley,"140,346","122,538","158,781","162,840",233,-12.7,29.6,2.6,140
Duval,"461,497","423,968","424,967","436,507",186,-8.1,0.2,2.7,134
Eastland,"902,658","840,668","915,169","1,096,053",127,-6.9,8.9,19.8,11
Ector,"12,169,756","10,773,276","11,722,833","12,844,718",20,-11.5,8.8,9.6,26
Edwards,"102,819","106,239","105,270","103,814",243,3.3,-0.9,-1.4,202
Ellis,"4,757,978","4,910,556","4,939,819","5,263,388",48,3.2,0.6,6.6,47
El Paso,"27,333,138","27,579,722","28,070,265","28,974,082",7,0.9,1.8,3.2,115
Erath,"1,423,892","1,458,608","1,542,395","1,639,702",99,2.4,5.7,6.3,52
Falls,"361,665","378,232","384,311","397,988",192,4.6,1.6,3.6,107
Fannin,"624,023","652,635","683,053","719,113",164,4.6,4.7,5.3,69
Fayette,"1,663,815","1,617,915","1,702,891","1,676,417",97,-2.8,5.3,-1.6,203
Fisher,"241,192","235,337","233,169","269,140",214,-2.4,-0.9,15.4,15
Floyd,"275,103","246,891","335,089","331,475",202,-10.3,35.7,-1.1,199
Foard,"45,757","43,240","46,113","48,701",253,-5.5,6.6,5.6,63
Fort Bend,"28,277,968","22,713,161","23,180,856","24,423,084",10,-19.7,2.1,5.4,68
Franklin,"410,877","405,561","422,235","447,719",183,-1.3,4.1,6,55
Freestone,"1,991,526","1,774,119","1,833,862","1,384,485",115,-10.9,3.4,-24.5,251
Frio,"1,804,483","1,636,444","1,812,542","1,972,828",83,-9.3,10.8,8.8,30
Gaines,"3,071,021","3,143,750","3,374,899","3,329,962",64,2.4,7.4,-1.3,201
Galveston,"13,438,716","13,923,623","13,991,719","14,227,702",18,3.6,0.5,1.7,157
Garza,"392,575","396,636","394,392","386,173",193,1,-0.6,-2.1,207
Gillespie,"814,218","832,301","829,962","855,051",152,2.2,-0.3,3,125
Glasscock,"3,227,077","3,419,824","4,188,974","5,445,361",45,6,22.5,30,6
Goliad,"324,593","315,686","345,439","348,238",199,-2.7,9.4,0.8,172
Gonzales,"5,039,799","4,715,861","4,829,309","4,962,433",49,-6.4,2.4,2.8,132
Gray,"1,254,277","1,074,164","1,096,956","1,078,311",130,-14.4,2.1,-1.7,204
Grayson,"4,355,290","4,370,950","4,475,124","4,691,343",52,0.4,2.4,4.8,78
Gregg,"7,851,814","7,432,406","7,554,845","7,899,636",32,-5.3,1.6,4.6,84
Grimes,"1,209,368","1,107,248","1,057,200","1,087,331",129,-8.4,-4.5,2.9,128
Guadalupe,"7,892,978","8,038,245","8,578,658","9,253,418",30,1.8,6.7,7.9,34
Hale,"1,372,721","1,268,627","1,299,060","1,356,731",117,-7.6,2.4,4.4,85
Hall,"82,461","83,017","77,221","77,938",248,0.7,-7,0.9,169
Hamilton,"202,268","207,874","210,996","218,155",223,2.8,1.5,3.4,109
Hansford,"1,022,789","855,907","879,769","945,214",142,-16.3,2.8,7.4,37
Hardeman,"205,461","205,436","203,502","193,103",226,0,-0.9,-5.1,230
Hardin,"1,282,714","1,249,286","1,258,985","1,320,027",120,-2.6,0.8,4.8,77
Harris,"358,868,375","350,522,882","351,838,302","361,353,488",1,-2.3,0.4,2.7,135
Harrison,"4,405,398","4,350,017","4,419,469","4,509,467",55,-1.3,1.6,2,150
Hartley,"959,518","776,267","901,759","906,563",145,-19.1,16.2,0.5,177
Haskell,"192,651","211,294","258,137","298,804",210,9.7,22.2,15.8,14
Hays,"5,428,938","5,709,953","5,969,966","6,291,164",38,5.2,4.6,5.4,66
Hemphill,"1,515,128","1,288,646","1,202,424","1,047,164",132,-14.9,-6.7,-12.9,245
Henderson,"1,567,343","1,569,941","1,643,810","1,680,801",95,0.2,4.7,2.3,146
Hidalgo,"19,570,711","20,007,112","20,381,184","21,017,756",14,2.2,1.9,3.1,119
Hill,"865,074","890,421","907,781","922,510",143,2.9,1.9,1.6,158
Hockley,"2,243,591","2,089,775","2,241,118","2,291,133",73,-6.9,7.2,2.2,147
Hood,"1,973,766","1,836,421","2,046,183","2,180,548",75,-7,11.4,6.6,46
Hopkins,"1,296,179","1,285,413","1,291,824","1,341,445",118,-0.8,0.5,3.8,100
Houston,"876,884","846,398","857,637","883,298",148,-3.5,1.3,3,126
Howard,"3,215,304","3,723,152","5,093,480","6,757,873",37,15.8,36.8,32.7,5
Hudspeth,"145,705","141,134","137,100","149,878",237,-3.1,-2.9,9.3,28
Hunt,"3,060,806","3,412,827","3,469,900","3,554,755",60,11.5,1.7,2.4,141
Hutchinson,"4,908,939","9,380,312","8,903,931","7,999,065",31,91.1,-5.1,-10.2,240
Irion,"2,129,169","1,822,057","1,845,890","1,717,353",93,-14.4,1.3,-7,234
Jack,"753,797","624,966","637,510","675,495",168,-17.1,2,6,58
Jackson,"601,370","578,885","637,979","703,860",166,-3.7,10.2,10.3,23
Jasper,"1,005,634","956,225","970,666","985,232",139,-4.9,1.5,1.5,159
Jeff Davis,"72,827","70,060","72,178","72,768",250,-3.8,3,0.8,171
Jefferson,"21,956,655","23,478,937","23,759,625","23,729,173",11,6.9,1.2,-0.1,192
Jim Hogg,"216,959","226,035","224,393","223,390",221,4.2,-0.7,-0.4,194
Jim Wells,"1,937,644","1,565,164","1,650,206","1,812,196",91,-19.2,5.4,9.8,25
Johnson,"5,934,611","5,730,890","6,142,760","6,166,179",39,-3.4,7.2,0.4,181
Jones,"511,267","514,141","514,593","495,732",180,0.6,0.1,-3.7,220
Karnes,"11,154,194","10,296,951","12,711,830","13,273,827",19,-7.7,23.5,4.4,87
Kaufman,"3,673,450","4,173,953","4,399,554","4,573,275",54,13.6,5.4,3.9,98
Kendall,"1,544,589","1,625,835","1,702,032","1,822,462",89,5.3,4.7,7.1,39
Kenedy,"315,528","278,453","315,603","305,405",206,-11.8,13.3,-3.2,216
Kent,"413,451","425,760","433,248","429,846",189,3,1.8,-0.8,196
Kerr,"1,634,397","1,620,694","1,614,033","1,680,749",96,-0.8,-0.4,4.1,93
Kimble,"162,691","149,140","131,154","133,485",239,-8.3,-12.1,1.8,154
King,"184,716","214,793","219,301","208,452",224,16.3,2.1,-4.9,229
Kinney,"114,591","110,641","113,598","113,457",241,-3.4,2.7,-0.1,191
Kleberg,"1,198,964","1,142,031","1,157,189","1,162,135",125,-4.7,1.3,0.4,180
Knox,"187,404","189,096","169,237","183,586",228,0.9,-10.5,8.5,32
Lamar,"1,954,872","1,994,090","2,066,720","2,141,896",77,2,3.6,3.6,105
Lamb,"906,970","771,216","797,444","755,461",161,-15,3.4,-5.3,231
Lampasas,"416,814","412,937","416,145","429,103",190,-0.9,0.8,3.1,120
La Salle,"8,451,546","6,730,787","7,403,097","7,789,093",33,-20.4,10,5.2,70
Lavaca,"1,590,498","1,363,519","1,352,895","1,467,751",113,-14.3,-0.8,8.5,31
Lee,"964,888","901,371","921,869","921,090",144,-6.6,2.3,-0.1,189
Leon,"1,298,131","1,102,364","989,740","1,012,329",136,-15.1,-10.2,2.3,145
Liberty,"1,764,267","1,728,899","1,783,167","1,898,796",84,-2,3.1,6.5,49
Limestone,"1,432,623","1,369,196","1,407,387","1,491,163",110,-4.4,2.8,6,59
Lipscomb,"850,093","761,476","816,938","735,518",163,-10.4,7.3,-10,239
Live Oak,"2,430,555","2,184,215","2,076,604","2,006,611",82,-10.1,-4.9,-3.4,217
Llano,"625,570","646,414","644,286","638,468",169,3.3,-0.3,-0.9,198
Loving,"2,388,278","4,188,570","6,586,304","9,557,235",28,75.4,57.2,45.1,2
Lubbock,"11,775,829","11,955,144","12,154,015","12,523,583",22,1.5,1.7,3,124
Lynn,"173,775","208,370","216,014","242,551",218,19.9,3.7,12.3,19
McCulloch,"349,458","316,094","348,038","371,048",195,-9.5,10.1,6.6,44
McLennan,"10,826,522","11,405,062","11,913,463","12,347,805",24,5.3,4.5,3.6,104
McMullen,"4,620,756","4,273,231","3,864,088","3,730,878",58,-7.5,-9.6,-3.4,219
Madison,"1,072,976","871,390","792,698","708,151",165,-18.8,-9,-10.7,241
Marion,"248,798","260,890","262,795","275,244",213,4.9,0.7,4.7,81
Martin,"4,473,823","5,412,710","7,003,980","9,798,482",27,21,29.4,39.9,4
Mason,"120,773","114,096","121,936","122,641",240,-5.5,6.9,0.6,176
Matagorda,"2,026,956","2,036,741","2,105,035","2,046,679",80,0.5,3.4,-2.8,211
Maverick,"1,396,862","1,403,362","1,440,038","1,487,369",111,0.5,2.6,3.3,112
Medina,"828,986","818,153","852,698","872,982",149,-1.3,4.2,2.4,143
Menard,"79,642","71,076","64,680","65,819",251,-10.8,-9,1.8,155
Midland,"18,765,716","18,797,042","22,611,280","26,786,004",9,0.2,20.3,18.5,13
Milam,"973,728","997,226","940,908","632,583",170,2.4,-5.6,-32.8,252
Mills,"147,621","154,603","152,337","183,690",227,4.7,-1.5,20.6,10
Mitchell,"542,100","541,563","530,060","504,203",179,-0.1,-2.1,-4.9,228
Montague,"1,237,808","1,078,040","1,100,417","998,712",138,-12.9,2.1,-9.2,237
Montgomery,"20,106,661","20,235,028","21,356,063","22,369,829",13,0.6,5.5,4.7,80
Moore,"1,767,806","1,753,526","1,765,193","1,682,157",94,-0.8,0.7,-4.7,226
Morris,"744,205","639,957","638,229","686,443",167,-14,-0.3,7.6,35
Motley,"43,182","39,311","39,910","41,500",254,-9,1.5,4,96
Nacogdoches,"2,468,571","2,420,273","2,514,106","2,596,775",71,-2,3.9,3.3,111
Navarro,"1,428,644","1,394,937","1,413,194","1,495,539",109,-2.4,1.3,5.8,61
Newton,"499,778","402,663","470,235","508,661",178,-19.4,16.8,8.2,33
Nolan,"944,540","947,748","954,905","954,245",140,0.3,0.8,-0.1,188
Nueces,"18,864,520","18,790,122","18,902,397","19,117,033",15,-0.4,0.6,1.1,161
Ochiltree,"1,916,909","1,557,060","1,538,049","1,509,261",106,-18.8,-1.2,-1.9,205
Oldham,"354,364","383,814","338,867","362,143",197,8.3,-11.7,6.9,40
Orange,"3,247,476","3,199,109","3,072,605","3,196,209",66,-1.5,-4,4,95
Palo Pinto,"961,620","913,894","962,405","1,004,793",137,-5,5.3,4.4,88
Panola,"3,100,854","2,700,866","2,691,838","2,727,949",69,-12.9,-0.3,1.3,160
Parker,"3,881,585","3,576,103","3,742,191","3,860,064",56,-7.9,4.6,3.1,116
Parmer,"1,582,166","1,329,234","1,442,347","1,469,742",112,-16,8.5,1.9,153
Pecos,"2,190,674","2,260,388","2,700,203","3,267,658",65,3.2,19.5,21,9
Polk,"1,130,000","1,162,945","1,185,234","1,212,652",123,2.9,1.9,2.3,144
Potter,"7,644,413","7,554,164","7,553,063","7,785,463",34,-1.2,0,3.1,123
Presidio,"226,048","254,849","226,442","232,643",220,12.7,-11.1,2.7,133
Rains,"168,723","169,157","172,798","183,329",229,0.3,2.2,6.1,53
Randall,"3,454,369","3,409,412","3,407,628","3,539,417",61,-1.3,-0.1,3.9,99
Reagan,"3,618,768","4,212,231","5,303,685","5,977,463",41,16.4,25.9,12.7,17
Real,"74,725","72,070","72,339","75,348",249,-3.6,0.4,4.2,92
Red River,"242,555","248,770","244,805","243,294",217,2.6,-1.6,-0.6,195
Reeves,"4,338,556","5,279,109","8,533,997","12,666,552",21,21.7,61.7,48.4,1
Refugio,"572,250","530,982","516,840","516,280",176,-7.2,-2.7,-0.1,190
Roberts,"1,569,206","1,301,255","1,224,990","1,015,627",135,-17.1,-5.9,-17.1,249
Robertson,"2,473,354","2,265,218","2,307,161","2,082,871",79,-8.4,1.9,-9.7,238
Rockwall,"2,560,844","2,725,128","2,877,797","3,002,097",67,6.4,5.6,4.3,91
Runnels,"333,931","295,872","294,661","303,778",207,-11.4,-0.4,3.1,122
Rusk,"2,831,492","2,708,872","2,732,838","2,822,763",68,-4.3,0.9,3.3,110
Sabine,"233,607","246,862","259,103","267,128",215,5.7,5,3.1,121
San Augustine,"690,353","764,715","899,142","1,019,175",134,10.8,17.6,13.3,16
San Jacinto,"328,488","332,439","341,352","341,508",201,1.2,2.7,0,187
San Patricio,"2,377,615","2,393,458","2,273,991","2,279,014",74,0.7,-5,0.2,184
San Saba,"133,492","161,340","159,609","176,547",230,20.9,-1.1,10.6,22
Schleicher,"241,692","214,698","171,652","166,130",231,-11.2,-20,-3.2,215
Scurry,"2,592,419","2,371,985","2,468,602","2,474,422",72,-8.5,4.1,0.2,182
Shackelford,"306,506","268,784","274,939","289,696",211,-12.3,2.3,5.4,67
Shelby,"1,523,727","1,349,056","1,441,435","1,540,317",103,-11.5,6.8,6.9,41
Sherman,"588,101","453,877","471,846","314,943",205,-22.8,4,-33.3,253
Smith,"9,799,342","9,796,738","9,904,909","10,179,462",25,0,1.1,2.8,130
Somervell,"1,167,454","1,193,111","1,050,082","1,176,285",124,2.2,-12,12,20
Starr,"1,410,342","1,402,458","1,430,751","1,414,905",114,-0.6,2,-1.1,200
Stephens,"563,405","540,730","562,682","544,689",174,-4,4.1,-3.2,214
Sterling,"328,219","335,686","326,006","317,732",203,2.3,-2.9,-2.5,210
Stonewall,"287,140","311,694","321,330","300,714",208,8.6,3.1,-6.4,233
Sutton,"591,057","509,699","510,276","489,548",181,-13.8,0.1,-4.1,222
Swisher,"522,839","480,407","540,624","515,381",177,-8.1,12.5,-4.7,225
Tarrant,"101,178,408","102,172,994","104,650,547","108,786,197",3,1,2.4,4,97
Taylor,"5,753,114","5,680,692","5,797,155","6,073,954",40,-1.3,2.1,4.8,79
Terrell,"223,138","208,373","203,478","161,963",234,-6.6,-2.3,-20.4,250
Terry,"757,854","806,173","812,966","796,030",159,6.4,0.8,-2.1,206
Throckmorton,"182,817","156,479","152,133","156,903",235,-14.4,-2.8,3.1,118
Titus,"1,774,627","1,769,587","1,917,585","1,627,165",101,-0.3,8.4,-15.1,248
Tom Green,"5,043,054","4,916,517","5,038,041","5,285,701",47,-2.5,2.5,4.9,74
Travis,"88,672,286","92,381,463","96,695,331","102,486,231",4,4.2,4.7,6,56
Trinity,"226,012","224,969","227,204","233,490",219,-0.5,1,2.8,131
Tyler,"476,390","467,929","444,520","434,587",187,-1.8,-5,-2.2,208
Upshur,"865,472","811,844","821,631","845,183",153,-6.2,1.2,2.9,127
Upton,"4,817,268","5,503,600","6,762,302","7,369,575",35,14.2,22.9,9,29
Uvalde,"805,353","811,951","799,536","807,982",158,0.8,-1.5,1.1,164
Val Verde,"1,598,445","1,558,081","1,569,346","1,638,997",100,-2.5,0.7,4.4,86
Van Zandt,"1,008,858","1,016,336","1,036,470","1,063,085",131,0.7,2,2.6,139
Victoria,"4,794,811","4,502,675","4,511,754","4,723,879",50,-6.1,0.2,4.7,82
Walker,"1,873,122","1,948,584","1,972,080","2,011,832",81,4,1.2,2,151
Waller,"1,748,110","1,651,687","1,682,328","1,764,685",92,-5.5,1.9,4.9,75
Ward,"3,102,368","2,972,627","3,553,344","4,594,555",53,-4.2,19.5,29.3,8
Washington,"1,992,892","1,955,645","1,970,314","2,099,987",78,-1.9,0.8,6.6,45
Webb,"12,451,869","12,360,473","12,794,056","12,408,193",23,-0.7,3.5,-3,212
Wharton,"1,706,323","1,583,284","1,723,864","1,826,855",87,-7.2,8.9,6,57
Wheeler,"1,600,612","1,298,696","1,253,636","1,094,573",128,-18.9,-3.5,-12.7,243
Wichita,"5,254,691","5,303,003","5,322,864","5,452,221",44,0.9,0.4,2.4,142
Wilbarger,"674,909","697,392","676,360","753,154",162,3.3,-3,11.4,21
Willacy,"709,067","783,732","892,603","870,911",150,10.5,13.9,-2.4,209
Williamson,"19,670,590","20,619,895","22,046,015","22,865,231",12,4.8,6.9,3.7,102
Wilson,"978,867","931,470","973,167","1,046,254",133,-4.8,4.5,7.5,36
Winkler,"935,699","920,409","1,283,883","1,824,256",88,-1.6,39.5,42.1,3
Wise,"4,241,062","3,912,276","3,729,284","3,759,232",57,-7.8,-4.7,0.8,173
Wood,"1,599,054","1,580,861","1,657,467","1,643,737",98,-1.1,4.8,-0.8,197
Yoakum,"2,681,087","2,941,461","3,179,886","3,385,988",63,9.7,8.1,6.5,50
Young,"839,658","839,662","860,714","866,609",151,0,2.5,0.7,175
Zapata,"986,772","809,255","883,293","820,224",156,-18,9.1,-7.1,235
Zavala,"1,124,822","1,048,958","991,794","945,577",141,-6.7,-5.4,-4.7,224